campus,slug,status,note
DelVal,delaware-valley-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Doane,doane-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
East Texas A&M,east-texas-aandm-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Erskine,erskine-college,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
FGCU,florida-gulf-coast-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Fredonia,suny-fredonia,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Furman,furman-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Georgian Court,georgian-court-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Grambling,grambling-state-university,needs-review,"No clear GreekRank uni page in search; HBCU — likely NPHC-heavy, verify via official source"
HPU,hawaii-pacific-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
IUN,indiana-university-northwest,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
IUPUI,indiana-university-indianapolis,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
IUS,indiana-university-southeast,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
JBU,john-brown-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
JU,jacksonville-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
King's,king-s-college-pennsylvania,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Knox,knox-college,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Liberty,liberty-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Linfield,linfield-college,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Lipscomb,lipscomb-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Loyola New Orleans,loyola-university-new-orleans,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
MIT,massachusetts-institute-of-technology,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
MSSU,missouri-southern-state-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
NSU,northwestern-state-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Nelson University,nelson-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
North Park,north-park-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
ORU,oral-roberts-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
OU,ottawa-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Park University,park-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Penn State Abington,penn-state-abington,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Penn State Berks,penn-state-berks,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Penn State Brandywine,penn-state-brandywine,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Penn State DuBois,penn-state-dubois,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Penn State New Kensington,penn-state-new-kensington,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Penn State York,penn-state-york,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
RIC,rhode-island-college,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Rockhurst,rockhurst-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
SAU,saint-ambrose-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
SF State,san-francisco-state-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
SSU,savannah-state-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
SU,salisbury-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Seattle U,seattle-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Southeastern,southeastern-oklahoma-state-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Spalding,spalding-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Suffolk,suffolk-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
TWU,texas-woman-s-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
UCCS,university-of-colorado-colorado-springs,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
UH-Downtown,university-of-houston-downtown,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
UHCL,university-of-houston-clear-lake,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
ULV,university-of-la-verne,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
UMSL,university-of-missourist-louis,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
UMW,university-of-mary-washington,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
UMass Dartmouth,university-of-massachusetts-dartmouth,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
UNT Dallas,university-of-north-texas-at-dallas,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
USC Upstate,university-of-south-carolina-upstate,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
USI,university-of-southern-indiana,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
UST Houston,university-of-st-thomas,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
UT Austin,the-university-of-texas-at-austin,duplicate,"DUPLICATE campus record — supported Texas (university-of-texas-at-austin, faad6039) already exists. Do NOT import; merge/archive this dup (102fd422)."
UTRGV,the-university-of-texas-rio-grande-valley,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
UVM,university-of-vermont,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
UW Oshkosh,university-of-wisconsinoshkosh,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
UWG,university-of-west-georgia,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
UWSP,university-of-wisconsinstevens-point,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Utah Tech,utah-tech-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
WBU,wayland-baptist-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
WSSU,winston-salem-state-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
WWU,walla-walla-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Western Colorado,western-colorado-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Wilmington College,wilmington-college,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Woodbury,woodbury-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Western Washington University,(not in DB),needs-campus-record,No campus row exists — add via CSV importer before Greek harvest
